Player ID,First Name,Last Name,Team ID,Team Abbreviation,Headshot,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8476469,Joel,Armia,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476469.png,40,R,94,94,188,530,-18
8481540,Cole,Caufield,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481540.png,13,R,97,75,172,230,-43
8481523,Kirby,Dach,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481523.png,77,C,34,73,107,237,-43
8477989,Christian,Dvorak,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8477989.png,28,C,95,129,224,477,-62
8478133,Jake,Evans,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478133.png,71,C,31,73,104,293,-11
8475848,Brendan,Gallagher,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475848.png,11,R,226,213,439,777,28
8482476,Emil,Heineman,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482476.png,51,L,6,2,8,28,-2
8479339,Patrik,Laine,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8479339.png,92,R,205,184,389,481,-59
8481618,Alex,Newhook,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481618.png,15,C,47,58,105,239,-5
8479543,Michael,Pezzetta,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8479543.png,55,L,15,23,38,178,-8
8483515,Juraj,Slafkovsky,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8483515.png,20,L,26,48,74,143,-40
8480018,Nick,Suzuki,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8480018.png,14,C,118,194,312,398,-76
8482111,Justin,Barron,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482111.png,52,D,13,18,31,106,-14
8482087,Kaiden,Guhle,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482087.png,21,D,12,34,46,134,-27
8483457,Lane,Hutson,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8483457.png,48,D,0,18,18,27,-14
8476875,Mike,Matheson,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476875.png,8,D,70,179,249,570,-35
8475233,David,Savard,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475233.png,58,D,53,179,232,819,-27
