Player ID,First Name,Last Name,Team Abbreviation,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8479987,Morgan,Geekie,BOS,39,C,41,66,107,275,3
8474870,Tyler,Johnson,BOS,90,C,193,239,432,745,22
8480355,Mark,Kastelic,BOS,47,C,17,15,32,167,-7
8481043,Cole,Koepke,BOS,45,L,5,6,11,49,3
8477496,Elias,Lindholm,BOS,28,C,221,349,570,842,14
8473419,Brad,Marchand,BOS,63,L,409,537,946,1053,289
8477956,David,Pastrnak,BOS,88,R,356,393,749,698,139
8478401,Pavel,Zacha,BOS,18,C,116,189,305,570,-28
8478443,Brandon,Carlo,BOS,25,D,29,74,103,578,124
8476854,Hampus,Lindholm,BOS,27,D,73,240,313,762,147
8482511,Mason,Lohrei,BOS,6,D,5,16,21,61,-8
8479325,Charlie,McAvoy,BOS,73,D,56,229,285,478,143
8479369,Andrew,Peeke,BOS,52,D,10,38,48,251,-57
8478450,Parker,Wotherspoon,BOS,29,D,0,9,9,67,10
8477507,Nikita,Zadorov,BOS,91,D,48,105,153,666,14
8476914,Joonas,Korpisalo,BOS,70,G,0,3,0,285,0
8480280,Jeremy,Swayman,BOS,1,G,0,1,0,148,0
8477979,Nicolas,Aube-Kubel,BUF,96,R,31,47,78,289,14
8484145,Zach,Benson,BUF,9,L,14,20,34,87,-5
8481528,Dylan,Cozens,BUF,24,C,70,104,174,302,-46
8478413,Jordan,Greenway,BUF,12,L,55,102,157,417,29
8481522,Peyton,Krebs,BUF,19,C,23,50,73,236,-31
8483468,Jiri,Kulich,BUF,20,C,2,0,2,14,-1
8478043,Sam,Lafferty,BUF,81,C,37,47,84,310,-26
8479359,Beck,Malenstyn,BUF,29,L,9,18,27,127,-2
8480802,Ryan,McLeod,BUF,71,C,38,49,87,241,18
8482175,JJ,Peterka,BUF,77,R,47,51,98,181,-5
8482097,Jack,Quinn,BUF,22,R,25,38,63,125,-16
8479420,Tage,Thompson,BUF,72,C,143,128,271,389,-48
8477949,Alex,Tuch,BUF,89,R,138,198,336,476,49
8475722,Jason,Zucker,BUF,17,L,201,183,384,719,0
8480196,Jacob,Bryson,BUF,78,D,4,34,38,217,-34
8481524,Bowen,Byram,BUF,4,D,29,56,85,186,24
8477365,Connor,Clifton,BUF,75,D,14,50,64,332,49
8480839,Rasmus,Dahlin,BUF,26,D,72,239,311,458,-65
8478502,Dennis,Gilbert,BUF,8,D,3,11,14,88,-15
8480035,Henri,Jokiharju,BUF,10,D,17,73,90,363,-26
8482671,Owen,Power,BUF,25,D,15,71,86,185,22
8480807,Mattias,Samuelsson,BUF,23,D,4,26,30,163,-2
8480045,Ukko-Pekka,Luukkonen,BUF,1,G,0,3,0,115,0
8473503,James,Reimer,BUF,47,G,0,3,0,504,0
8476981,Josh,Anderson,MTL,17,R,135,98,233,557,-36
8476469,Joel,Armia,MTL,40,R,94,94,188,527,-18
8481540,Cole,Caufield,MTL,13,R,94,73,167,227,-44
8481523,Kirby,Dach,MTL,77,C,34,73,107,234,-40
8477989,Christian,Dvorak,MTL,28,C,95,129,224,474,-62
8478133,Jake,Evans,MTL,71,C,31,72,103,290,-11
8475848,Brendan,Gallagher,MTL,11,R,226,212,438,774,28
8482476,Emil,Heineman,MTL,51,L,5,2,7,25,-2
8481618,Alex,Newhook,MTL,15,C,47,58,105,236,-6
8479543,Michael,Pezzetta,MTL,55,L,15,23,38,178,-8
8482749,Joshua,Roy,MTL,89,R,4,5,9,25,-3
8483515,Juraj,Slafkovsky,MTL,20,L,26,47,73,140,-37
8480018,Nick,Suzuki,MTL,14,C,116,190,306,395,-77
8482111,Justin,Barron,MTL,52,D,13,18,31,105,-15
8482087,Kaiden,Guhle,MTL,21,D,12,34,46,131,-27
8483457,Lane,Hutson,MTL,48,D,0,14,14,24,-12
8476875,Mike,Matheson,MTL,8,D,69,178,247,567,-35
8475233,David,Savard,MTL,58,D,53,179,232,816,-25
8481593,Jayden,Struble,MTL,47,D,5,10,15,73,-8
8482964,Arber,Xhekaj,MTL,72,D,8,17,25,114,-9
8478470,Sam,Montembeault,MTL,35,G,0,3,0,161,0
8480051,Cayden,Primeau,MTL,30,G,0,2,0,53,0
8478020,Michael,Amadio,OTT,22,R,59,57,116,391,-15
8480208,Drake,Batherson,OTT,19,R,99,149,248,331,-74
8476393,Nick,Cousins,OTT,21,C,72,112,184,613,-23
8478874,Adam,Gaudette,OTT,81,R,38,44,82,241,-34
8473512,Claude,Giroux,OTT,28,R,356,727,1083,1204,27
8479393,Noah,Gregor,OTT,73,L,34,32,66,258,-61
8482092,Ridly,Greig,OTT,71,C,17,25,42,111,4
8480064,Josh,Norris,OTT,9,C,79,59,138,205,-31
8482859,Zack,Ostapchuk,OTT,38,C,0,1,1,15,0
8474102,David,Perron,OTT,57,L,310,458,768,1140,-2
8481596,Shane,Pinto,OTT,12,C,31,42,73,154,-12
8481133,Cole,Reinhardt,OTT,51,L,1,1,2,5,0
8482116,Tim,Stützle,OTT,18,C,100,175,275,307,-62
8480801,Brady,Tkachuk,OTT,7,L,173,201,374,462,-60
8480879,Jacob,Bernard-Docker,OTT,24,D,4,14,18,116,-5
8478469,Thomas,Chabot,OTT,72,D,63,207,270,454,-72
8474612,Travis,Hamonic,OTT,23,D,52,184,236,862,-20
8475324,Nick,Jensen,OTT,3,D,20,122,142,584,28
8482095,Tyler,Kleven,OTT,43,D,1,4,5,39,-4
8482105,Jake,Sanderson,OTT,85,D,15,69,84,178,-11
8482245,Artem,Zub,OTT,2,D,17,56,73,261,5
8476341,Anton,Forsberg,OTT,31,G,0,2,0,169,0
8476999,Linus,Ullmark,OTT,35,G,1,3,0,261,0
8480980,Connor,Dewar,TOR,24,C,19,24,43,196,-17
8477503,Max,Domi,TOR,11,C,130,293,423,680,-9
8483733,Nikita,Grebenkin,TOR,71,R,0,0,0,3,-1
8480995,Pontus,Holmberg,TOR,29,R,13,20,33,111,6
8475714,Calle,Jarnkrok,TOR,19,C,136,165,301,699,70
8480144,David,Kampf,TOR,64,C,43,90,133,495,-17
8482720,Matthew,Knies,TOR,23,L,23,25,48,103,11
8478904,Steven,Lorentz,TOR,18,C,24,23,47,252,-26
8478483,Mitch,Marner,TOR,16,R,203,465,668,598,114
8479318,Auston,Matthews,TOR,34,C,373,287,660,575,142
8482259,Bobby,McMann,TOR,74,C,21,11,32,87,17
8483489,Fraser,Minten,TOR,39,C,1,1,2,7,-1
8479423,Alex,Nylander,TOR,92,L,25,24,49,123,-10
8477939,William,Nylander,TOR,88,R,231,321,552,625,22
8474157,Max,Pacioretty,TOR,67,L,332,342,674,915,59
8471817,Ryan,Reaves,TOR,75,R,63,73,136,893,-47
8481582,Nicholas,Robertson,TOR,89,L,18,17,35,106,3
8482634,Alex,Steeves,TOR,46,C,0,1,1,11,-4
8475166,John,Tavares,TOR,91,C,465,595,1060,1130,-26
8481122,Simon,Benoit,TOR,2,D,5,17,22,221,-26
8475171,Oliver,Ekman-Larsson,TOR,95,D,145,334,479,1004,-119
8475825,Jani,Hakanpää,TOR,28,D,15,30,45,290,33
8476931,Jake,McCabe,TOR,22,D,33,124,157,599,-7
8477541,Dakota,Mermis,TOR,36,D,4,8,12,74,5
8479026,Philippe,Myers,TOR,51,D,8,28,36,159,4
8476853,Morgan,Rielly,TOR,44,D,84,401,485,813,-19
8475690,Chris,Tanev,TOR,8,D,33,161,194,814,126
8479982,Conor,Timmins,TOR,25,D,4,31,35,111,17
8476932,Anthony,Stolarz,TOR,41,G,0,4,0,121,0
8479361,Joseph,Woll,TOR,60,G,0,0,0,43,0
8478427,Sebastian,Aho,CAR,20,C,261,320,581,620,114
8482809,Jackson,Blake,CAR,53,R,7,2,9,23,0
8477478,William,Carrier,CAR,28,L,60,52,112,435,22
8480835,Jack,Drury,CAR,18,C,15,30,45,136,17
8482093,Seth,Jarvis,CAR,24,C,70,91,161,246,44
8480829,Jesperi,Kotkaniemi,CAR,82,C,67,107,174,420,6
8476921,Jordan,Martinook,CAR,48,L,86,124,210,663,-29
8480039,Martin,Necas,CAR,88,C,109,171,280,384,28
8480762,Eric,Robinson,CAR,50,L,45,60,105,328,-3
8478458,Jack,Roslovic,CAR,96,C,92,143,235,467,-24
8473533,Jordan,Staal,CAR,11,C,288,396,684,1275,55
8480830,Andrei,Svechnikov,CAR,37,R,139,195,334,428,47
8470613,Brent,Burns,CAR,8,D,256,631,887,1437,7
8478970,Jalen,Chatfield,CAR,5,D,16,31,47,206,44
8476906,Shayne,Gostisbehere,CAR,4,D,102,282,384,641,-76
8475200,Dmitry,Orlov,CAR,7,D,73,240,313,813,137
8476958,Jaccob,Slavin,CAR,74,D,50,230,280,687,159
8479388,Riley,Stillman,CAR,61,D,4,22,26,158,-19
8480336,Sean,Walker,CAR,26,D,27,72,99,335,-27
8475883,Frederik,Andersen,CAR,31,G,0,15,0,499,0
8481611,Pyotr,Kochetkov,CAR,52,G,0,1,0,82,0
8477493,Aleksander,Barkov,FLA,16,C,271,461,732,752,125
8477935,Sam,Bennett,FLA,9,C,147,159,306,637,-14
8480003,Jesper,Boqvist,FLA,70,C,37,37,74,259,-12
8479981,Jonah,Gadjovich,FLA,12,L,7,8,15,130,-14
8478421,A.J.,Greer,FLA,10,L,15,23,38,190,2
8482113,Anton,Lundell,FLA,15,C,50,78,128,238,51
8480185,Eetu,Luostarinen,FLA,27,C,44,69,113,317,8
8477931,Tomas,Nosek,FLA,92,L,45,65,110,445,-9
8477933,Sam,Reinhart,FLA,13,C,272,298,570,719,-46
8478542,Evan,Rodrigues,FLA,17,C,86,132,218,488,-4
8482713,Mackie,Samoskevich,FLA,25,R,4,4,8,27,-7
8479314,Matthew,Tkachuk,FLA,19,L,223,372,595,608,127
8477409,Carter,Verhaeghe,FLA,23,C,133,134,267,353,49
8484304,Uvis,Balinskis,FLA,26,D,1,8,9,49,-8
8480871,Adam,Boqvist,FLA,34,D,23,64,87,219,-47
8477932,Aaron,Ekblad,FLA,5,D,115,242,357,699,89
8478055,Gustav,Forsling,FLA,42,D,49,123,172,420,140
8475179,Dmitry,Kulikov,FLA,7,D,49,190,239,971,-30
8478859,Niko,Mikkola,FLA,77,D,9,41,50,275,2
8477220,Nate,Schmidt,FLA,88,D,50,177,227,682,100
8475683,Sergei,Bobrovsky,FLA,72,G,0,12,0,716,0
8481519,Spencer,Knight,FLA,30,G,0,2,0,65,0
8474715,Cam,Atkinson,TBL,13,R,250,232,482,783,-14
8482070,Mitchell,Chaffee,TBL,41,R,9,7,16,52,8
8478519,Anthony,Cirelli,TBL,71,C,106,149,255,452,105
8479591,Michael,Eyssimont,TBL,23,C,18,25,43,156,10
8483447,Conor,Geekie,TBL,14,C,3,3,6,21,3
8476878,Zemgus,Girgensons,TBL,28,C,89,101,190,709,-67
8476822,Luke,Glendening,TBL,11,C,80,80,160,808,-77
8482201,Gage,Goncalves,TBL,93,C,0,1,1,11,0
8477404,Jake,Guentzel,TBL,59,C,236,276,512,541,73
8479542,Brandon,Hagel,TBL,38,L,99,134,233,314,8
8476453,Nikita,Kucherov,TBL,86,R,332,574,906,746,141
8477426,Nick,Paul,TBL,20,L,80,91,171,427,-31
8478010,Brayden,Point,TBL,21,C,279,294,573,597,64
8478416,Erik,Cernak,TBL,81,D,20,74,94,386,70
8475167,Victor,Hedman,TBL,77,D,160,587,747,1073,179
8482929,Emil,Lilleberg,TBL,78,D,0,11,11,55,-16
8474151,Ryan,McDonagh,TBL,27,D,76,319,395,949,256
8482655,J.J.,Moser,TBL,90,D,18,62,80,226,-17
8480246,Nick,Perbix,TBL,48,D,9,41,50,163,23
8478178,Darren,Raddysh,TBL,43,D,8,33,41,116,-5
8477992,Jonas,Johansson,TBL,31,G,0,0,0,65,0
8476883,Andrei,Vasilevskiy,TBL,88,G,0,20,0,495,0
8473563,Nicklas,Backstrom,WSH,19,C,271,762,1033,1105,83
8475343,Nic,Dowd,WSH,26,C,75,81,156,522,20
8479400,Pierre-Luc,Dubois,WSH,80,L,147,209,356,538,8
8479520,Brandon,Duhaime,WSH,22,R,24,23,47,233,-2
8474189,Lars,Eller,WSH,20,C,184,229,413,1060,-27
8482148,Hendrix,Lapierre,WSH,29,C,9,19,28,73,-2
8478233,Andrew,Mangiapane,WSH,88,L,114,110,224,439,58
8481580,Connor,McMichael,WSH,24,C,40,31,71,177,-11
